interest_id,category,mobi_feature,travelogue_feature,mobi_sub_feature,travelogue_mobi_sub_feature,source
1258489123,ACCOMMODATION,Star Rating,On_a_Budget,1.5 star hotel,,Places
890442893,ACCOMMODATION,Star Rating,On_a_Budget,1 star hotel,,Places
1935875005,ACCOMMODATION,Star Rating,On_a_Budget,2.5 star hotel,,Places
954280751,ACCOMMODATION,Star Rating,On_a_Budget,2 star hotel,,Places
1651260061,ACCOMMODATION,Star Rating,On_a_Budget,3.5 star hotel,,Places
1037388225,ACCOMMODATION,Star Rating,On_a_Budget,3 star hotel,,Places
1699305779,ACCOMMODATION,Star Rating,Luxury,4.5 star hotel,,Places
734292137,ACCOMMODATION,Star Rating,Luxury,4 star hotel,,Places
43916960,ACCOMMODATION,Star Rating,Luxury,5 star hotel,,Places
2110934202,ACCOMMODATION,Accommodation Type,Family_Friendly,Agritourism,,Places
874339373,ACCOMMODATION,Accommodation Type,Nature,Agritourism,,Places
1902601024,ACCOMMODATION,Accommodation Type,On_a_Budget,Agritourism,,Places
911372972,ACCOMMODATION,Amenity,Relaxing,Air conditioning,,Places
1010835676,ACCOMMODATION,Accommodation Type,Luxury,All-Inclusive,,Places
2032087072,ACCOMMODATION,,Outdoors,Amenity,,Places
1992324530,ACCOMMODATION,Accommodation Type,Luxury,Apart-Hotel,,Places
1497040065,ACCOMMODATION,Accommodation Type,On_a_Budget,Apartment,,Places
503193152,ACCOMMODATION,Amenity,Outdoors,Balcony,,Places
921392114,ACCOMMODATION,Amenity,Nightlife,Bars,,Places
1008235100,ACCOMMODATION,Amenity,Water,Bathtub,,Places
1627142080,ACCOMMODATION,Accommodation Type,On_a_Budget,Bed & Breakfast,,Places
950954025,ACCOMMODATION,,Shopping,Brand,,Places
1174699963,ACCOMMODATION,Amenity,Food_and_Drink,Breakfast available,,Places
1965116518,ACCOMMODATION,Accommodation Type,Woodsy,Cabin,,Places
969699948,ACCOMMODATION,Accommodation Type,Outdoors,Caravan Park,,Places
190797323,ACCOMMODATION,Accommodation Type,History_and_Culture,Castle,,Places
553061364,ACCOMMODATION,Accommodation Type,Luxury,Chalet,,Places
1480938262,ACCOMMODATION,Accommodation Type,Luxury,Condo,,Places
2110546658,ACCOMMODATION,Accommodation Type,Luxury,Condominium Resort,,Places
1641959321,ACCOMMODATION,Amenity,Food_and_Drink,Oven,,Places
580541675,ACCOMMODATION,Amenity,Luxury,Pillow menu,,Places
568421682,ACCOMMODATION,Amenity,Luxury,Premium bedding,,Places
793017729,ACCOMMODATION,Amenity,Wellness,Shower,,Places
1702560284,ACCOMMODATION,Amenity,Shopping,Slippers,,Places
936514351,ACCOMMODATION,Amenity,Food_and_Drink,Snack bar/deli,,Places
555426750,ACCOMMODATION,Amenity,Food_and_Drink,Stovetop,,Places
445657106,ACCOMMODATION,Amenity,On_a_Budget,Wifi in all rooms,,Places
5247133,ACCOMMODATION,Accommodation Type,Woodsy,Cottage,,Places
559095919,ACCOMMODATION,Accommodation Type,History_and_Culture,Country House,,Places
1833195099,ACCOMMODATION,Accommodation Type,Water,Cruise,,Places
1896957986,ACCOMMODATION,Amenity,Wellness,Fitness center,,Places
871383812,ACCOMMODATION,Amenity,On_a_Budget,Free Wifi in all rooms,Free Wifi,Places
57299505,ACCOMMODATION,Amenity,On_a_Budget,Free Wifi in public areas,Free Wifi,Places
1093405626,ACCOMMODATION,Accommodation Type,On_a_Budget,Guest House,,Places
142488441,ACCOMMODATION,Accommodation Type,Parks,Holiday Park,,Places
509542423,ACCOMMODATION,Accommodation Type,On_a_Budget,Hostel / Backpacker Accommodation,,Places
1923553092,ACCOMMODATION,Accommodation Type,On_a_Budget,Hostel (Budget Hotel),,Places
1569138673,ACCOMMODATION,Accommodation Type,Luxury,Hotel Resort,,Places
1558336969,ACCOMMODATION,Accommodation Type,Water,House Boat,,Places
1989436543,ACCOMMODATION,Amenity,Wellness,Hypo-allergenic bedding,,Places
791706589,ACCOMMODATION,Amenity,Water,Indoor pool,,Places
1723927146,ACCOMMODATION,Accommodation Type,History_and_Culture,Inn,,Places
2001607418,ACCOMMODATION,Amenity,On_a_Budget,Internet access in all rooms,Internet Access,Places
662590163,ACCOMMODATION,Amenity,Food_and_Drink,Kitchenette,,Places
550647365,ACCOMMODATION,Accommodation Type,Outdoors,Lodge,,Places
417688383,ACCOMMODATION,Amenity,Wellness,Massage & Spa,,Places
1573543896,ACCOMMODATION,Accommodation Type,History_and_Culture,Palace,,Places
846532049,ACCOMMODATION,Accommodation Type,On_a_Budget,Pension,,Places
158664474,ACCOMMODATION,Amenity,Water,Pool,,Places
889198498,ACCOMMODATION,Accommodation Type,Luxury,Pousada (Brazil),,Places
620242481,ACCOMMODATION,Accommodation Type,History_and_Culture,Pousada (Portugal),,Places
2079933864,ACCOMMODATION,Accommodation Type,Luxury,Private Vacation Home,,Places
561015698,ACCOMMODATION,Accommodation Type,Outdoors,Ranch,,Places
243734927,ACCOMMODATION,Accommodation Type,History_and_Culture,Residence,,Places
971909150,ACCOMMODATION,Amenity,Food_and_Drink,Restaurants,,Places
1487091953,ACCOMMODATION,Accommodation Type,Luxury,Riad,,Places
61551611,ACCOMMODATION,Amenity,Luxury,Room service,,Places
51466385,ACCOMMODATION,Accommodation Type,Wellness,Ryokan,,Places
1789134510,ACCOMMODATION,Accommodation Type,Adventure,Safari_Tentalow,,Places
688002562,ACCOMMODATION,Accommodation Type,Nature,Safari_Tentalow,,Places
339421042,ACCOMMODATION,Accommodation Type,Outdoors,Safari_Tentalow,,Places
656946340,ACCOMMODATION,Amenity,Family_Friendly,Safe,,Places
1253134303,ACCOMMODATION,Amenity,On_a_Budget,Sofa bed,,Places
516899008,ACCOMMODATION,Amenity,Outdoors,Terrace,,Places
1082000988,ACCOMMODATION,Accommodation Type,Luxury,TownHouse,,Places
1596474842,ACCOMMODATION,Accommodation Type,Nature,Tree House,,Places
1784164001,ACCOMMODATION,Accommodation Type,Luxury,Villa,,Places
113124397,ACCOMMODATION,Amenity,Family_Friendly,Wheelchair accessible,,Places
887633343,ACCOMMODATION,Amenity,On_a_Budget,Wifi in public areas,,Places
603020477,ACCOMMODATION,Amenity,On_a_Budget,Wired internet in all rooms,,Places
326975616,ACCOMMODATION,Amenity,Food_and_Drink,BBQ grill,,Places
1505907188,ACCOMMODATION,Amenity,Luxury,Blackout drapes/curtains,,Places
1599891032,ACCOMMODATION,Amenity,Food_and_Drink,Coffee/tea maker,,Places
1423079046,ACCOMMODATION,Amenity,Artsy,Desk,,Places
2077493237,ACCOMMODATION,Amenity,On_a_Budget,Dishwasher,,Places
