"interest_id","category","mobi_feature","travelogue_feature","mobi_sub_feature","travelogue_mobi_sub_feature","source"
1344996914,EXPERIENCE,Activities,,Trip,,
1061760996,EXPERIENCE,Outdoors,,Shark Diving,,
1298154373,EXPERIENCE,Adventure,,Safaris,,
150042566,EXPERIENCE,Outdoors,,Safaris,,
862406189,EXPERIENCE,History and Culture,,Mines,,
2147435271,EXPERIENCE,Wellness,,Arab Baths,,
926370902,EXPERIENCE,Wellness,,Roman Baths,,
827350181,EXPERIENCE,Wellness,,Massage & spa,,
2093706177,EXPERIENCE,Tours,,Factory Tours,,
622793361,EXPERIENCE,Tours,,Submarine Tours,,
1954495637,EXPERIENCE,Tours,,Climbing Tours,,
2075413798,EXPERIENCE,Tours,,Motorcycle Tours,,
142892470,EXPERIENCE,Tours,,Horse-Drawn Carriage Tours,,
1073643288,EXPERIENCE,Tours,,Canyoning & Rappelling Tours,,
491133058,EXPERIENCE,Tours,,Dolphin & Whale Watching,,
1183918449,EXPERIENCE,Tours,,Skydiving,,
270693461,EXPERIENCE,Tours,,Windsurfing & Kitesurfing,,
1972381268,EXPERIENCE,Tours,,E-bikes,,
485832454,EXPERIENCE,Tours,,Scooter & Moped Tours,,
838617074,EXPERIENCE,Tours,,Swim with Dolphins,,
1759731992,EXPERIENCE,Tours,,Art & Music Tours,,
513953153,EXPERIENCE,Tours,,Smartphone/app Tours,,
778264086,EXPERIENCE,Tours,,Wine Tours & Tastings ,,
1030252376,EXPERIENCE,Food and Drinks,,Wine Tours & Tastings ,,
1218277094,EXPERIENCE,Transportation,,Taxis & Shuttles,,
1573224329,EXPERIENCE,Transportation,,Ferries,,
431032341,EXPERIENCE,Transportation,,Mass TransportationSystems,,
1063852259,EXPERIENCE,Transportation,,Bus Transportation,,
1554196914,EXPERIENCE,Transportation,,Tramways,,
1586903565,EXPERIENCE,Transportation,,Railways,,
1031479755,EXPERIENCE,Museums,,Museums,,
242497720,EXPERIENCE,Shopping,,Airport Shops,,
358114305,ACCOMMODATION,Accommodations,,Hotel Resort,,
2001143196,ACCOMMODATION,Accommodations,,Bed & Breakfast,,
626014054,ACCOMMODATION,Accommodations,,All-Inclusive,,
1116487702,ACCOMMODATION,Accommodations,,Cabin,,
1352356026,ACCOMMODATION,Accommodations,,Chalet,,
2049270120,ACCOMMODATION,Accommodations,,Cottage,,
63730204,ACCOMMODATION,Accommodations,,Hostel / Backpacker Accommodation,,
938345089,ACCOMMODATION,Accommodations,,Ranch,,
375860377,ACCOMMODATION,Accommodations,,Apartment,,
487800076,ACCOMMODATION,Accommodations,,Private Vacation Home,,
1015172579,ACCOMMODATION,Accommodations,,House Boat,,
1432051349,ACCOMMODATION,Accommodations,,Ryokan,,
1531604742,ACCOMMODATION,Accommodations,,Tree House,,
2095611879,ACCOMMODATION,Accommodations,,Apart-Hotel,,
1054279796,ACCOMMODATION,Accommodations,,Condominium Resort,,
685840641,ACCOMMODATION,Accommodations,,Caravan Park,,
1244408274,ACCOMMODATION,Accommodations,,Riad,,
2114206330,ACCOMMODATION,Accommodations,,Hostel (Budget Hotel),,
1778207497,ACCOMMODATION,Accommodations,,Country House,,
181099484,ACCOMMODATION,Accommodations,,Pension,,
546006127,ACCOMMODATION,Accommodations,,Pousada (Portugal),,
1392735485,ACCOMMODATION,Accommodations,,Pousada (Brazil),,
647116672,ACCOMMODATION,Accommodations,,Safari / Tentalow,,
1228619862,ACCOMMODATION,Accommodations,,Palace,,
1815961978,ACCOMMODATION,Accommodations,,Cruise,,
2019980724,ACCOMMODATION,Accommodations,,Holiday Park,,
493835382,EXPERIENCE,Food and Drinks,,Food & tasting,,
2009224145,EXPERIENCE,Fun and Games,,Rides & Activities,,
1359313977,EXPERIENCE,Fun and Games,,Horse Tracks,,
1836850455,EXPERIENCE,Fun and Games,,Character Experiences,,
580800283,EXPERIENCE,Fun and Games,,Dog Tracks,,
1630361675,EXPERIENCE,Fun and Games,,Virtual Reality,,
2065243857,EXPERIENCE,Nature,,State Parks,,
2003896942,EXPERIENCE,Nature,,Caverns & Caves,,
314710872,EXPERIENCE,Nature,,Volcanos,,
2112169164,EXPERIENCE,Nature,,Ski & Snowboard Areas,,
305017968,EXPERIENCE,Nature,,Valleys,,
1217480098,EXPERIENCE,Nature,,Canyons,,
1061836506,EXPERIENCE,Nature,,Reefs,,
1997869125,EXPERIENCE,Parks,,Theme Park,,
1043800501,EXPERIENCE,Parks,,Water Park,,
2045577786,EXPERIENCE,Outdoors,,Beaches,,
146612681,EXPERIENCE,Outdoors,,Beach & Pool Clubs,,
872890979,EXPERIENCE,Outdoors,,Hot Springs & Geysers,,
57222157,EXPERIENCE,Adventure,,Off-Road & ATV Trails,,
412843501,EXPERIENCE,Outdoors,,Off-Road & ATV Trails,,
